WS Predicate,WS Name,Field Predicate,Kind,Field Type,Field Name,Variable Enums,Field Description,Dont Ask,Required,Field Confirmation,Field Action,WS Action
,ContractSafetyAnalysis,,,worksheet,,,,,,,,,
,,,input,str,contract_code,,The Solidity contract code to analyze,,TRUE,,,
,BalanceSafetyCheck,,,worksheet,,,,,,,,,
,,,internal,str,check_description,,Check if balance is verified before transfer using require(balance >= amount) pattern,,TRUE,,,
,,,output,bool,has_balance_check,,Whether a proper balance check exists before transfer,,TRUE,,,
,,,output,str,balance_check_evidence,,Line numbers or code snippets showing the balance check,,TRUE,,,
,ArithmeticSafetyCheck,,,worksheet,,,,,,,,,
,,,internal,str,check_description,,Check for arithmetic overflow/underflow risks in calculations,,TRUE,,,
,,,output,bool,has_overflow_risk,,Whether arithmetic operations could overflow or underflow,,TRUE,,,
,,,output,str,arithmetic_evidence,,Evidence of arithmetic safety issues or protections,,TRUE,,,
,AccessControlCheck,,,worksheet,,,,,,,,,
,,,internal,str,check_description,,Check for proper access control (e.g., only owner can call, proper modifiers),,TRUE,,,
,,,output,bool,has_access_control,,Whether appropriate access control is implemented,,TRUE,,,
,,,output,str,access_control_evidence,,Evidence of access control mechanisms or lack thereof,,TRUE,,,
,InputValidationCheck,,,worksheet,,,,,,,,,
,,,internal,str,check_description,,Check if inputs are validated (non-zero addresses, positive amounts, etc.),,TRUE,,,
,,,output,bool,has_input_validation,,Whether input validation is present,,TRUE,,,
,,,output,str,validation_evidence,,Evidence of input validation or missing validation,,TRUE,,,
,StateConsistencyCheck,,,worksheet,,,,,,,,,
,,,internal,str,check_description,,Check if state updates are consistent (balances updated correctly, no double-spending),,TRUE,,,
,,,output,bool,has_state_consistency,,Whether state updates maintain consistency,,TRUE,,,
,,,output,str,consistency_evidence,,Evidence of state consistency or inconsistency issues,,TRUE,,,
,SafetyDecision,,,worksheet,,,,,,,,,
,,,input,str,contract_code,,The contract code being analyzed (injected from input),,TRUE,,,
,,,output,str,overall_status,,Final decision: SAFE or UNSAFE based on all checks,,TRUE,,,
,,,output,str,reasoning,,Detailed reasoning explaining the safety decision based on all checks,,TRUE,,,
,,,output,str,evidence_summary,,Summary of evidence from all safety checks,,TRUE,,,

