id,gold_label,model_a,model_b,model_c,all_agree,final_label
0,safe,safe,safe,safe,true,safe
1,safe,safe,safe,unsafe,false,safe
2,safe,safe,safe,unsafe,false,safe
3,unsafe,unsafe,unsafe,safe,false,unsafe
4,unsafe,unsafe,unsafe,unsafe,true,unsafe
5,unsafe,unsafe,unsafe,unsafe,true,unsafe
6,safe,safe,safe,unsafe,false,safe
7,safe,safe,safe,safe,true,safe
8,safe,safe,safe,unsafe,false,safe
9,unsafe,unsafe,unsafe,unsafe,true,unsafe
10,unsafe,unsafe,unsafe,unsafe,true,unsafe
11,safe,safe,safe,safe,true,safe
12,safe,safe,safe,unsafe,false,safe
13,safe,safe,safe,safe,true,safe
14,safe,safe,safe,safe,true,safe
15,unsafe,unsafe,unsafe,unsafe,true,unsafe
16,safe,safe,safe,safe,true,safe
17,safe,safe,safe,unsafe,false,safe
18,safe,safe,safe,safe,true,safe
19,unsafe,unsafe,unsafe,unsafe,true,unsafe
20,safe,safe,safe,safe,true,safe
21,safe,safe,safe,safe,true,safe
22,safe,safe,safe,safe,true,safe
23,safe,safe,safe,safe,true,safe
24,unsafe,unsafe,unsafe,unsafe,true,unsafe
25,safe,safe,safe,unsafe,false,safe
26,safe,safe,safe,safe,true,safe
27,safe,safe,safe,safe,true,safe
28,safe,safe,safe,safe,true,safe
29,safe,safe,safe,unsafe,false,safe
30,unsafe,unsafe,unsafe,unsafe,true,unsafe
31,unsafe,unsafe,unsafe,unsafe,true,unsafe
